"PTM","Residue","PTM_Residue","Allele","n","n_strong","n_weak","n_nonbinder","pct_strong"
"Acetylation","K","K acetylation","A0201",16,3,0,13,18.8
"Acetylation","K","K acetylation","B0702",11,2,1,8,18.2
"Acetylation","K","K acetylation","C0702",10,0,0,10,0
"Acetylation","N-term","N-term acetylation","A0201",102,2,7,93,2
"Acetylation","N-term","N-term acetylation","B0702",112,6,5,101,5.4
"Acetylation","N-term","N-term acetylation","C0702",103,2,8,93,1.9
"Citrullination","R","R citrullination","A0201",75,47,5,23,62.7
"Citrullination","R","R citrullination","B0702",152,101,18,33,66.4
"Citrullination","R","R citrullination","C0702",36,8,3,25,22.2
"Cysteinylation","C","C cysteinylation","A0201",1455,766,430,259,52.6
"Cysteinylation","C","C cysteinylation","B0702",752,466,121,165,62
"Cysteinylation","C","C cysteinylation","C0702",165,18,30,117,10.9
"Deamidation","N","N deamidation","A0201",358,216,62,80,60.3
"Deamidation","N","N deamidation","B0702",322,234,24,64,72.7
"Deamidation","N","N deamidation","C0702",117,20,15,82,17.1
"Deamidation","Q","Q deamidation","A0201",270,154,53,63,57
"Deamidation","Q","Q deamidation","B0702",199,141,16,42,70.9
"Deamidation","Q","Q deamidation","C0702",60,10,9,41,16.7
"Dimethylation","M","M dimethylation","B0702",20,18,1,1,90
"Dimethylation","P","P dimethylation","A0201",17,5,6,6,29.4
"Dimethylation","P","P dimethylation","B0702",30,23,4,3,76.7
"Dimethylation","R","R dimethylation","A0201",40,14,7,19,35
"Dimethylation","R","R dimethylation","B0702",116,89,16,11,76.7
"Dimethylation","R","R dimethylation","C0702",22,6,7,9,27.3
"Methylation","D","D methylation","A0201",13,5,0,8,38.5
"Methylation","D","D methylation","B0702",19,11,3,5,57.9
"Methylation","K","K methylation","B0702",11,8,2,1,72.7
"Methylation","L","L methylation","B0702",13,4,5,4,30.8
"Methylation","M","M methylation","A0201",19,5,2,12,26.3
"Methylation","M","M methylation","B0702",32,28,2,2,87.5
"Methylation","P","P methylation","B0702",11,10,1,0,90.9
"Methylation","Q","Q methylation","B0702",11,7,2,2,63.6
"Methylation","R","R methylation","A0201",31,12,6,13,38.7
"Methylation","R","R methylation","B0702",64,47,9,8,73.4
"Methylation","R","R methylation","C0702",10,5,2,3,50
"Methylation","S","S methylation","A0201",42,18,7,17,42.9
"Methylation","S","S methylation","B0702",38,19,7,12,50
"Methylation","S","S methylation","C0702",20,4,2,14,20
"Oxidation","C","C oxidation","A0201",24,11,8,5,45.8
"Oxidation","D","D oxidation","B0702",14,9,2,3,64.3
"Oxidation","E","E oxidation","A0201",12,7,1,4,58.3
"Oxidation","G","G oxidation","A0201",15,10,1,4,66.7
"Oxidation","G","G oxidation","B0702",23,13,4,6,56.5
"Oxidation","K","K oxidation","B0702",15,6,5,4,40
"Oxidation","L","L oxidation","A0201",14,8,2,4,57.1
"Oxidation","L","L oxidation","B0702",29,19,3,7,65.5
"Oxidation","L","L oxidation","C0702",11,1,1,9,9.1
"Oxidation","M","M oxidation","A0201",67,33,11,23,49.3
"Oxidation","M","M oxidation","B0702",103,70,14,19,68
"Oxidation","M","M oxidation","C0702",18,4,3,11,22.2
"Oxidation","N","N oxidation","A0201",18,11,5,2,61.1
"Oxidation","N","N oxidation","B0702",14,7,4,3,50
"Oxidation","P","P oxidation","A0201",40,23,5,12,57.5
"Oxidation","P","P oxidation","B0702",71,46,10,15,64.8
"Oxidation","P","P oxidation","C0702",14,3,2,9,21.4
"Oxidation","Q","Q oxidation","A0201",10,6,2,2,60
"Oxidation","Q","Q oxidation","B0702",14,11,1,2,78.6
"Oxidation","R","R oxidation","A0201",11,7,1,3,63.6
"Oxidation","R","R oxidation","B0702",24,16,6,2,66.7
"Oxidation","S","S oxidation","A0201",21,9,2,10,42.9
"Oxidation","S","S oxidation","B0702",28,16,5,7,57.1
"Oxidation","T","T oxidation","A0201",10,5,0,5,50
"Oxidation","Y","Y oxidation","A0201",14,8,3,3,57.1
"Phosphorylation","S","S phosphorylation","A0201",28,19,5,4,67.9
"Phosphorylation","S","S phosphorylation","B0702",12,7,1,4,58.3
