"PTM","Allele","Total","Strong","Weak","NonBinder","Pct_Strong","Pct_NonBinder"
"Acetylation","A0201",100,2,6,92,2,92
"Acetylation","B0702",109,6,5,98,5.5045871559633,89.9082568807339
"Acetylation","C0702",99,2,8,89,2.02020202020202,89.8989898989899
"Citrullination","A0201",24,10,3,11,41.6666666666667,45.8333333333333
"Citrullination","B0702",91,69,5,17,75.8241758241758,18.6813186813187
"Citrullination","C0702",23,4,2,17,17.3913043478261,73.9130434782609
"Cysteinylation","A0201",1450,762,429,259,52.551724137931,17.8620689655172
"Cysteinylation","B0702",740,456,120,164,61.6216216216216,22.1621621621622
"Cysteinylation","C0702",165,18,30,117,10.9090909090909,70.9090909090909
"Deamidation","A0201",488,300,91,97,61.4754098360656,19.8770491803279
"Deamidation","B0702",354,262,29,63,74.0112994350282,17.7966101694915
"Deamidation","C0702",116,24,19,73,20.6896551724138,62.9310344827586
"Dimethylation","A0201",27,11,4,12,40.7407407407407,44.4444444444444
"Dimethylation","B0702",93,72,11,10,77.4193548387097,10.752688172043
"Dimethylation","C0702",17,3,6,8,17.6470588235294,47.0588235294118
"Methylation","A0201",55,24,8,23,43.6363636363636,41.8181818181818
"Methylation","B0702",62,29,14,19,46.7741935483871,30.6451612903226
"Methylation","C0702",23,5,5,13,21.7391304347826,56.5217391304348
"Oxidation","A0201",581,329,111,141,56.6265060240964,24.2685025817556
"Oxidation","B0702",302,180,30,92,59.6026490066225,30.4635761589404
"Oxidation","C0702",72,11,12,49,15.2777777777778,68.0555555555556
"Phosphorylation","A0201",220,142,52,26,64.5454545454545,11.8181818181818
"Phosphorylation","B0702",419,385,23,11,91.8854415274463,2.62529832935561
"Phosphorylation","C0702",63,37,15,11,58.7301587301587,17.4603174603175
"Ubiquitination","A0201",104,6,3,95,5.76923076923077,91.3461538461538
"Ubiquitination","B0702",66,4,4,58,6.06060606060606,87.8787878787879
"Ubiquitination","C0702",65,3,2,60,4.61538461538461,92.3076923076923
"Background","A0201",36666,21841,6330,8495,59.5674466808487,23.1686030655103
"Background","B0702",31686,19847,4703,7136,62.6364956132046,22.5209871867702
"Background","C0702",8748,1855,1713,5180,21.2048468221308,59.2135345221765
