"Glycan_Label","Complexity","n","n_strong","n_weak","n_nonbinder","mass_shift","Short_Label"
"HexNAc(1)",1,1,0,0,1,203.079373,"HN(1)"
"Hex(1)HexNAc(1)",2,1,0,0,1,365.132196,"Hex(1)HN(1)"
"HexNAc(1)dHex(1)",2,1,0,0,1,349.137281,"HN(1)dH(1)"
"HexNAc(2)",2,1,0,0,1,406.158745,"HN(2)"
"Hex(1)HexNAc(2)",3,1,1,0,0,568.211569,"Hex(1)HN(2)"
"Hex(2)HexNAc(4)",6,1,0,0,1,1136.423137,"Hex(2)HN(4)"
"Hex(4)HexNAc(3)",7,1,1,0,0,1257.449412,"Hex(4)HN(3)"
"Hex(4)HexNAc(4)",8,1,0,0,1,1460.528784,"Hex(4)HN(4)"
"Hex(5)HexNAc(3)",8,1,0,0,1,1419.502235,"Hex(5)HN(3)"
"dHex Hex(3) HexNAc(5) NeuAc",8,1,1,0,0,1938.708659,"dH Hex(3) HN(5) NA"
"Hex(6)HexNAc(3)",9,1,0,0,1,1581.555059,"Hex(6)HN(3)"
"dHex(1)Hex(4)HexNAc(4)",9,1,0,0,1,1606.586693,"dH(1)Hex(4)HN(4)"
"dHex(1)Hex(6)HexNAc(2)",9,1,0,0,1,1524.533595,"dH(1)Hex(6)HN(2)"
"dHex(2)Hex(3)HexNAc(4)",9,1,0,0,1,1590.591779,"dH(2)Hex(3)HN(4)"
"dHex(2)Hex(4)HexNAc(3)",9,1,0,0,1,1549.56523,"dH(2)Hex(4)HN(3)"
"Hex(7)HexNAc(2)Phos(1)",10,1,0,0,1,1620.494841,"Hex(7)HN(2)P(1)"
"dHex Hex(8) HexNAc(2)",10,1,0,0,1,1848.639242,"dH Hex(8) HN(2)"
"dHex(2)Hex(3)HexNAc(5)",10,1,1,0,0,1793.671151,"dH(2)Hex(3)HN(5)"
"dHex(3)Hex(3)HexNAc(4)",10,1,1,0,0,1736.649688,"dH(3)Hex(3)HN(4)"
"Hex(6)HexNAc(5)",11,1,0,1,0,1987.713804,"Hex(6)HN(5)"
"dHex Hex(5) HexNAc(4) NeuAc(2)",11,1,0,0,1,2350.83035,"dH Hex(5) HN(4) NA(2)"
"dHex(1)Hex(6)HexNAc(4)",11,1,0,0,1,1930.69234,"dH(1)Hex(6)HN(4)"
"dHex(1)Hex(7)HexNAc(3)",11,1,1,0,0,1889.665791,"dH(1)Hex(7)HN(3)"
"dHex(2)Hex(4)HexNAc(5)",11,1,0,0,1,1955.723975,"dH(2)Hex(4)HN(5)"
"dHex(2)Hex(5)HexNAc(4)",11,1,0,0,1,1914.697426,"dH(2)Hex(5)HN(4)"
"Hex(7) HexNAc(6)",13,1,1,0,0,2352.846,"Hex(7) HN(6)"
