"Linked glycan","Count","Percentage","ShortName"
"Hex(1)HexNAc(1)",1,3.8,"Hex1HexNAc1"
"Hex(1)HexNAc(2)",1,3.8,"Hex1HexNAc2"
"Hex(2)HexNAc(4)",1,3.8,"Hex2HexNAc4"
"Hex(4)HexNAc(3)",1,3.8,"Hex4HexNAc3"
"Hex(4)HexNAc(4)",1,3.8,"Hex4HexNAc4"
"Hex(5)HexNAc(3)",1,3.8,"Hex5HexNAc3"
"Hex(6)HexNAc(3)",1,3.8,"Hex6HexNAc3"
"Hex(6)HexNAc(5)",1,3.8,"Hex6HexNAc5"
"Hex(7) HexNAc(6)",1,3.8,"Hex7 HexNAc6"
"Hex(7)HexNAc(2)Phos(1)",1,3.8,"Hex7HexNAc2Phos1"
"HexNAc(1)",1,3.8,"HexNAc1"
"HexNAc(1)dHex(1)",1,3.8,"HexNAc1dHex1"
"HexNAc(2)",1,3.8,"HexNAc2"
"dHex Hex(3) HexNAc(5) NeuAc",1,3.8,"dHex Hex3 HexNAc5 Ne"
"dHex Hex(5) HexNAc(4) NeuAc(2)",1,3.8,"dHex Hex5 HexNAc4 Ne"
"dHex Hex(8) HexNAc(2)",1,3.8,"dHex Hex8 HexNAc2"
"dHex(1)Hex(4)HexNAc(4)",1,3.8,"dHex1Hex4HexNAc4"
"dHex(1)Hex(6)HexNAc(2)",1,3.8,"dHex1Hex6HexNAc2"
"dHex(1)Hex(6)HexNAc(4)",1,3.8,"dHex1Hex6HexNAc4"
"dHex(1)Hex(7)HexNAc(3)",1,3.8,"dHex1Hex7HexNAc3"
"dHex(2)Hex(3)HexNAc(4)",1,3.8,"dHex2Hex3HexNAc4"
"dHex(2)Hex(3)HexNAc(5)",1,3.8,"dHex2Hex3HexNAc5"
"dHex(2)Hex(4)HexNAc(3)",1,3.8,"dHex2Hex4HexNAc3"
"dHex(2)Hex(4)HexNAc(5)",1,3.8,"dHex2Hex4HexNAc5"
"dHex(2)Hex(5)HexNAc(4)",1,3.8,"dHex2Hex5HexNAc4"
"dHex(3)Hex(3)HexNAc(4)",1,3.8,"dHex3Hex3HexNAc4"
